id,month,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt
1,01/06/2008,Abhyudaya Co-operative Bank,57,174,231,0.03,70317.54,3446.85,73764.39,0.03,158,298,456,0.06,76139.11,6285.18,82424.29,0.03
2,01/06/2008,ABN AMRO Bank,1713,7501,9214,1.17,2352462.46,1761383.86,4113846.32,1.58,2282,6200,8482,1.08,2504690.56,1584606.96,4089297.52,1.57
3,01/06/2008,Abu Dhabi Commercial Bank,61,118,179,0.02,26511.03,29323.51,55834.54,0.02,86,256,342,0.04,33333.57,17141.75,50475.32,0.02
4,01/06/2008,Allahabad Bank,690,1741,2431,0.31,1142968.63,608427.87,1751396.5,0.67,1650,932,2582,0.33,1251266.8,426556.25,1677823.06,0.65
5,01/06/2008,American Express Bank,119,670,789,0.1,329907.37,110386.17,440293.54,0.17,362,741,1103,0.14,276119.65,87249.08,363368.73,0.14
6,01/06/2008,Andhra Bank,1494,5428,6922,0.88,970486.17,276762.16,1247248.33,0.48,2182,1955,4137,0.53,1054256.84,93499.47,1147756.31,0.44
7,01/06/2008,Axis Bank,4831,33985,38816,4.94,3879768.26,7879776.13,11759544.39,4.53,5976,33377,39353,5.01,4228529.38,8278264.97,12506794.35,4.81
8,01/06/2008,"Bank of America, N.A.",1299,4901,6200,0.79,464215.25,651728.36,1115943.61,0.43,538,1741,2279,0.29,408508.83,826579.69,1235088.52,0.48
9,01/06/2008,Bank of Bahrain and Kuwait B.S.C.,101,104,205,0.03,21113.21,3972.25,25085.46,0.01,53,300,353,0.04,14480.22,6534.39,21014.61,0.01
10,01/06/2008,Bank of Baroda,4064,16158,20222,2.57,1898197.24,1191135.54,3089332.79,1.19,4914,17125,22039,2.8,1829028.65,1412540.83,3241569.48,1.25
11,01/06/2008,Bank of Ceylon,1,7,8,0,125,2035.27,2160.27,0,13,88,101,0.01,537.66,1739.13,2276.79,0
12,01/06/2008,Bank of India,3946,15466,19412,2.47,1044974.06,2133501.07,3178475.13,1.22,4876,9018,13894,1.77,1059696.83,1672896.38,2732593.21,1.05
13,01/06/2008,Bank of Maharashtra,739,3140,3879,0.49,534885.88,370137.94,905023.82,0.35,750,2244,2994,0.38,528546.64,407939.8,936486.44,0.36
14,01/06/2008,Bank of Nova Scotia,481,947,1428,0.18,1692598.61,187684.17,1880282.79,0.72,440,862,1302,0.17,1539805.94,199557.18,1739363.12,0.67
15,01/06/2008,Bank of Rajasthan,919,3582,4501,0.57,296861.3,198765.54,495626.83,0.19,975,2082,3057,0.39,270984.11,192187.67,463171.78,0.18
16,01/06/2008,Barclays Bank PLC,665,721,1386,0.18,865246.37,390452.77,1255699.15,0.48,676,5436,6112,0.78,967468.39,411067.5,1378535.89,0.53
17,01/06/2008,Bharat Co-operative Bank,34,376,410,0.05,33204.52,3106.44,36310.96,0.01,46,358,404,0.05,36190.24,4252.46,40442.7,0.02
18,01/06/2008,Bank of Tokyo and Mitsubishi,214,507,721,0.09,558150.83,99660.29,657811.12,0.25,210,383,593,0.08,538777.35,87532.61,626309.96,0.24
19,01/06/2008,BNP Paribas,980,1943,2923,0.37,1349025.32,336319.66,1685344.98,0.65,1063,2598,3661,0.47,1309840.52,349841.53,1659682.06,0.64
20,01/06/2008,Calyon Bank,443,411,854,0.11,1288304.33,133782.1,1422086.43,0.55,569,233,802,0.1,1384597.68,68207.87,1452805.55,0.56
21,01/06/2008,Canara Bank,2811,13821,16632,2.12,2111158.81,1247792.48,3358951.29,1.29,4673,9756,14429,1.84,2302704.91,1644270.45,3946975.36,1.52
22,01/06/2008,Catholic Syrian Bank,614,595,1209,0.15,90375.38,13432.94,103808.31,0.04,414,912,1326,0.17,78515.52,35856.86,114372.38,0.04
23,01/06/2008,Central Bank of India,1613,3394,5007,0.64,2963841.15,733638.99,3697480.13,1.42,3031,1920,4951,0.63,2877130.02,958623.26,3835753.28,1.48
24,01/06/2008,Centurion Bank,1703,6632,8335,1.06,269280.31,195075.16,464355.47,0.18,2143,6679,8822,1.12,126869.69,343153.96,470023.65,0.18
25,01/06/2008,Chinatrust Commercial Bank,52,18,70,0.01,44070.75,1746.6,45817.35,0.02,41,46,87,0.01,40767.74,4979.38,45747.12,0.02
26,01/06/2008,Citi Bank,2543,26163,28706,3.65,2277937.45,13313633.09,15591570.54,6,2468,30526,32994,4.2,2297897.23,13417730.16,15715627.39,6.05
27,01/06/2008,Citizen Credit Co-operative Bank,2,40,42,0.01,1050,1585.72,2635.72,0,15,73,88,0.01,175,2336.89,2511.89,0
28,01/06/2008,City Union Bank,937,1137,2074,0.26,136138.67,147001.68,283140.36,0.11,685,1139,1824,0.23,128303.33,123988.97,252292.3,0.1
29,01/06/2008,Corporation Bank,5676,8001,13677,1.74,1699572.41,1343377.28,3042949.69,1.17,3762,17179,20941,2.66,1247490.78,2329456.55,3576947.33,1.38
30,01/06/2008,Cosmos Co-operative Bank,78,483,561,0.07,32381.11,22520.5,54901.61,0.02,143,326,469,0.06,30877.49,22571.66,53449.15,0.02
31,01/06/2008,DBS Bank India,401,336,737,0.09,2181425.99,194479.09,2375905.08,0.91,433,1159,1592,0.2,2226339.15,241527.33,2467866.48,0.95
32,01/06/2008,Dena Bank,657,2112,2769,0.35,236609.46,388374.02,624983.48,0.24,1189,503,1692,0.22,256245.97,294555.13,550801.1,0.21
33,01/06/2008,Deposit Insurance and Credit Guarantee Corporation,1,2,3,0,0.38,34.64,35.03,0,0,2,2,0,0,3.28,3.28,0
34,01/06/2008,Deutsche Bank AG,2707,9906,12613,1.61,2248865.46,11557731.55,13806597.01,5.31,1457,12583,14040,1.79,1582958.6,12278670.04,13861628.65,5.34
35,01/06/2008,Deutsche Securities India Pvt.,68,2,70,0.01,194372.65,574.81,194947.46,0.08,70,0,70,0.01,201586.39,0,201586.39,0.08
36,01/06/2008,Development Credit Bank,380,1578,1958,0.25,238775.06,64884.59,303659.64,0.12,353,1540,1893,0.24,219745.7,98149.08,317894.78,0.12
37,01/06/2008,Dhanlaxmi Bank,754,602,1356,0.17,104196.18,29575.6,133771.77,0.05,741,759,1500,0.19,90785.69,34532.84,125318.54,0.05
38,01/06/2008,Dombivli Nagrik Co-operative Bank,51,45,96,0.01,8092.49,3102.98,11195.48,0,69,177,246,0.03,1753.85,4871.08,6624.92,0
39,01/06/2008,DSP Merrill Lynch Sec Trad,110,0,110,0.01,13393.5,0,13393.5,0.01,91,0,91,0.01,9763.1,0,9763.1,0
40,01/06/2008,Federal Bank,881,4263,5144,0.65,548021.74,443076.12,991097.86,0.38,2452,2937,5389,0.69,861529.68,240904.61,1102434.29,0.42
41,01/06/2008,HDFC Bank,10533,83439,93972,11.96,4765325.1,38057680.21,42823005.3,16.48,7338,90790,98128,12.49,3188102.44,42360075.63,45548178.07,17.53
42,01/06/2008,Hongkong and Shanghai Banking Corporation,2660,18702,21362,2.72,3467492.61,5500353.12,8967845.73,3.45,2953,20141,23094,2.94,3260208.7,5753931.06,9014139.76,3.47
43,01/06/2008,ICICI Bank,4578,50825,55403,7.05,4176862.73,17826666.13,22003528.86,8.47,5454,35808,41262,5.25,4183739.64,18297177.61,22480917.25,8.65
44,01/06/2008,ICICI Securities Ltd,174,93,267,0.03,397920.31,188644.78,586565.09,0.23,250,0,250,0.03,617599.61,0,617599.61,0.24
45,01/06/2008,IDBI Cap Market Services,91,5,96,0.01,215162.21,4893.43,220055.64,0.08,102,0,102,0.01,227811.99,0,227811.99,0.09
46,01/06/2008,IDBI Bank,3896,13971,17867,2.27,3683931.23,4828628.16,8512559.39,3.28,2599,12644,15243,1.94,3347803.65,4988466.32,8336269.97,3.21
47,01/06/2008,Indian Bank,1881,6486,8367,1.06,325265.16,380507.7,705772.85,0.27,2279,6630,8909,1.13,318692.1,471736.51,790428.61,0.3
48,01/06/2008,Indian Overseas Bank,1667,8059,9726,1.24,1652428.95,819070.74,2471499.69,0.95,3515,4765,8280,1.05,1589790.67,975135.71,2564926.39,0.99
96,01/06/2008,Thane Bharat Co-operative Bank,0,2,2,0,0,55.82,55.82,0,0,21,21,0,0,1096.36,1096.36,0
49,01/06/2008,IndusInd Bank,2132,5939,8071,1.03,1636743.28,451349.92,2088093.19,0.8,1823,10613,12436,1.58,1498125.71,676589.71,2174715.42,0.84
50,01/06/2008,ING Vysya Bank,2717,7518,10235,1.3,754871.52,1162758.72,1917630.23,0.74,2910,10369,13279,1.69,624829.4,1337457.3,1962286.7,0.76
51,01/06/2008,Jammu and Kashmir Bank,312,1370,1682,0.21,230385.45,314776.12,545161.57,0.21,302,2114,2416,0.31,189177.42,475662.17,664839.59,0.26
52,01/06/2008,Janakalyan Co-operative Bank,81,106,187,0.02,60677.81,1752.44,62430.25,0.02,47,240,287,0.04,57190.46,2958.15,60148.6,0.02
53,01/06/2008,JP Morgan Chase Bank,411,402,813,0.1,1753398.36,1002042.08,2755440.44,1.06,361,522,883,0.11,1884545.89,857056.93,2741602.82,1.06
54,01/06/2008,Kalupur Commercial Co-operative Bank,129,203,332,0.04,183201.99,37890.11,221092.1,0.09,110,513,623,0.08,187549.87,39601.3,227151.17,0.09
55,01/06/2008,Kalyan Janata Co-operative Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,01/06/2008,Karnataka Bank,977,2317,3294,0.42,123850.61,161060.21,284910.82,0.11,932,2125,3057,0.39,113691.39,165247.68,278939.07,0.11
57,01/06/2008,Karur Vysya Bank,1321,3184,4505,0.57,346939.23,96801.99,443741.23,0.17,1251,3572,4823,0.61,284824.47,152347.51,437171.98,0.17
58,01/06/2008,Kotak Mahindra Bank,1461,6117,7578,0.96,736048.66,1617802.7,2353851.36,0.91,801,7749,8550,1.09,653529.18,1546740.17,2200269.35,0.85
59,01/06/2008,Krung Thai Bank PCL,40,10,50,0.01,15374.9,590,15964.9,0.01,36,10,46,0.01,15824.14,183.69,16007.83,0.01
60,01/06/2008,Lehman Brothers FIS Pvt.,6,3,9,0,1259.68,6993.79,8253.47,0,7,0,7,0,645.13,0,645.13,0
61,01/06/2008,Maharashtra State Co-operative Bank,471,452,923,0.12,367473.89,275161.62,642635.5,0.25,253,593,846,0.11,465155.47,139204.49,604359.95,0.23
62,01/06/2008,Mashreq Bank,90,3,93,0.01,19892.03,750,20642.03,0.01,47,94,141,0.02,8979.55,9272.25,18251.8,0.01
63,01/06/2008,Mizuho Bank,111,317,428,0.05,260356.11,47192.08,307548.19,0.12,178,264,442,0.06,231913.1,61568.72,293481.83,0.11
64,01/06/2008,New India Co-operative Bank,16,91,107,0.01,1392.16,3697.64,5089.8,0,77,43,120,0.02,1013.15,1717.54,2730.7,0
258,01/08/2008,ICICI Securities Ltd,152,144,296,0.03,136650.77,340165.24,476816.02,0.2,209,0,209,0.02,474596.29,0,474596.29,0.2
65,01/06/2008,NKGSB Co-operative Bank,57,123,180,0.02,22635.12,1019.77,23654.88,0.01,49,159,208,0.03,23254.44,2638.43,25892.87,0.01
66,01/06/2008,Nutan Nagarik Co-operative Bank,23,35,58,0.01,1271.41,172.98,1444.39,0,1,161,162,0.02,3.07,1380.33,1383.4,0
67,01/06/2008,Oman International Bank,21,15,36,0,5819.12,212.67,6031.79,0,76,121,197,0.03,6646.8,467.77,7114.57,0
68,01/06/2008,Oriental Bank of Commerce,1629,8985,10614,1.35,803483.02,536846.61,1340329.63,0.52,2722,6387,9109,1.16,878001.16,497576.44,1375577.6,0.53
69,01/06/2008,PNB Gilts,210,33,243,0.03,1066046.26,210391.63,1276437.88,0.49,315,0,315,0.04,1212037.43,0,1212037.43,0.47
70,01/06/2008,Punjab and Maharashtra Co-operative Bank,109,275,384,0.05,3599.58,34620.55,38220.13,0.01,12,227,239,0.03,1055.4,10616.29,11671.69,0
71,01/06/2008,Punjab and Sind Bank,545,693,1238,0.16,848440.55,79068.83,927509.37,0.36,356,1070,1426,0.18,711313.54,270360.24,981673.78,0.38
72,01/06/2008,Punjab National Bank,6869,23477,30346,3.86,7457564.98,1676613.82,9134178.81,3.52,6378,23720,30098,3.83,7548871.64,1789905.75,9338777.39,3.59
73,01/06/2008,Rajkot Nagrik Co-operative Bank,5,27,32,0,28.66,504.44,533.1,0,22,185,207,0.03,1835,3655.97,5490.97,0
74,01/06/2008,RBL Bank,156,176,332,0.04,71223.43,4974.23,76197.66,0.03,85,273,358,0.05,71030.12,8166,79196.12,0.03
75,01/06/2008,Reserve Bank of India,48,1420,1468,0.19,683722.18,6285711.95,6969434.13,2.68,0,0,0,0,0,0,0,0
76,01/06/2008,Saraswat Co-operative Bank,442,1328,1770,0.23,896197.79,58997.21,955195.01,0.37,288,1253,1541,0.2,897475.58,79732.62,977208.19,0.38
77,01/06/2008,SBI DFHI,60,104,164,0.02,124796.53,127449.44,252245.97,0.1,246,0,246,0.03,317572.71,0,317572.71,0.12
78,01/06/2008,Security Trading Corp of India,60,166,226,0.03,58185.46,279672.97,337858.43,0.13,169,0,169,0.02,345182.38,0,345182.38,0.13
79,01/06/2008,Shamrao Vithal Co-operative Bank,120,767,887,0.11,81090.28,13675.73,94766,0.04,213,917,1130,0.14,84843.62,20540.26,105383.88,0.04
80,01/06/2008,Shinhan Bank,127,106,233,0.03,136174.31,24312.84,160487.15,0.06,86,358,444,0.06,113934.39,48940.82,162875.22,0.06
12680,01/01/2016,KEB Hana Bank,0,0,0,,,,,,4,6,10,0,82.99,32.55,115.54,0
81,01/06/2008,Societe Generale,170,97,267,0.03,267448.88,131530.98,398979.86,0.15,188,186,374,0.05,255098.24,133368.1,388466.34,0.15
82,01/06/2008,South Indian Bank,1564,2046,3610,0.46,183838.37,166033.26,349871.63,0.13,857,2349,3206,0.41,233055.38,140727.25,373782.62,0.14
83,01/06/2008,State Bank of Bikaner and Jaipur,2684,11497,14181,1.8,597516.87,388250.9,985767.78,0.38,4429,14837,19266,2.45,1090520.3,385327.39,1475847.69,0.57
84,01/06/2008,Standard Chartered Bank,3290,18452,21742,2.77,2726429.22,14303814.78,17030244.01,6.56,3117,31794,34911,4.44,2646642.78,15428082.26,18074725.03,6.96
85,01/06/2008,State Bank of Hyderabad,2750,11667,14417,1.83,1201613.82,745429.32,1947043.14,0.75,3120,7383,10503,1.34,1240141.95,769237.97,2009379.92,0.77
86,01/06/2008,State Bank of India,35672,82200,117872,15,7691462.5,12956126.16,20647588.66,7.95,27991,75942,103933,13.23,8619234.38,11409661.23,20028895.61,7.71
87,01/06/2008,State Bank of Indore,2153,10627,12780,1.63,652938.04,345285.08,998223.12,0.38,2266,7844,10110,1.29,691488.01,370218.61,1061706.63,0.41
88,01/06/2008,State Bank of Mauritius,7,30,37,0,4017.96,8047.43,12065.39,0,9,69,78,0.01,23.62,10296.08,10319.7,0
89,01/06/2008,State Bank of Mysore,4139,5975,10114,1.29,345548.88,489174.95,834723.83,0.32,2600,7982,10582,1.35,301245.23,590372.4,891617.64,0.34
90,01/06/2008,State Bank of Patiala,2772,6808,9580,1.22,912472.44,870438.66,1782911.1,0.69,3121,8260,11381,1.45,1200118.51,923265.03,2123383.54,0.82
91,01/06/2008,State Bank of Saurashtra,2727,5004,7731,0.98,935316.45,718082.1,1653398.55,0.64,1661,3370,5031,0.64,1174178.2,418571.31,1592749.51,0.61
92,01/06/2008,State Bank of Travancore,3473,5340,8813,1.12,939810.12,251593.37,1191403.48,0.46,3853,4807,8660,1.1,1051343.89,269196.37,1320540.27,0.51
93,01/06/2008,Syndicate Bank,2463,6292,8755,1.11,1369710.46,954617.24,2324327.71,0.89,2916,4453,7369,0.94,1470536.13,658071.76,2128607.89,0.82
94,01/06/2008,Tamilnad Mercantile Bank,1031,2411,3442,0.44,123228.38,84166.83,207395.21,0.08,418,4378,4796,0.61,86302.02,111557.79,197859.81,0.08
95,01/06/2008,Tamil Nadu State Apex Co-operative Bank,152,23,175,0.02,449449.74,21133.47,470583.21,0.18,73,264,337,0.04,462283.57,22556.96,484840.53,0.19
16488,01/09/2017,Fino Payments Bank,0,5,5,0,,891,891,0,0,2,2,0,,23.56,23.56,0
97,01/06/2008,Thane Janata Co-operative Bank,120,222,342,0.04,101474.41,5711.92,107186.33,0.04,66,338,404,0.05,95795.23,9615.98,105411.21,0.04
98,01/06/2008,Ahmedabad Mercantile Co-operative Bank,9,9,18,0,2688.96,95.85,2784.8,0,3,16,19,0,1605,345.19,1950.19,0
99,01/06/2008,Greater Bombay Co-operative Bank,285,148,433,0.06,11018.72,3277.61,14296.32,0.01,26,338,364,0.05,730.29,11714.47,12444.76,0
100,01/06/2008,Kapol Co-operative Bank,46,147,193,0.02,5264.8,6989.58,12254.37,0,2,213,215,0.03,11.16,9079.61,9090.78,0
101,01/06/2008,Lakshmi Vilas Bank,426,1264,1690,0.22,52727.03,68841.05,121568.08,0.05,425,2116,2541,0.32,43099.72,62213.45,105313.17,0.04
102,01/06/2008,West Bengal State Co-operative Bank,23,25,48,0.01,4106.35,13319.26,17425.61,0.01,0,62,62,0.01,0,106630.22,106630.22,0.04
103,01/06/2008,UCO Bank,1281,2702,3983,0.51,1108636.31,576222.21,1684858.51,0.65,1956,1518,3474,0.44,996902.74,676124.71,1673027.46,0.64
104,01/06/2008,Union Bank of India,3660,15680,19340,2.46,1506083.72,1349975.34,2856059.06,1.1,5522,14510,20032,2.55,1883775.89,877494.25,2761270.15,1.06
105,01/06/2008,United Bank of India,671,1331,2002,0.25,588434.86,474207.69,1062642.54,0.41,919,659,1578,0.2,808099.83,484584.76,1292684.59,0.5
106,01/06/2008,Vijaya Bank,1683,3983,5666,0.72,797083.57,542981.76,1340065.33,0.52,2344,2516,4860,0.62,786902.53,581455.62,1368358.15,0.53
107,01/06/2008,Yes Bank,713,2428,3141,0.4,947462.93,945375.19,1892838.13,0.73,516,5664,6180,0.79,984024.9,897874.22,1881899.12,0.72
108,01/07/2008,Abhyudaya Co-operative Bank,60,219,279,0.03,92428.03,2718.28,95146.3,0.04,148,327,475,0.05,97573.36,7169.07,104742.44,0.04
109,01/07/2008,ABN AMRO Bank,1824,8487,10311,1.19,1217624.11,2060372.3,3277996.41,1.22,2300,7132,9432,1.09,1323604.06,1954818.33,3278422.39,1.22
110,01/07/2008,Abu Dhabi Commercial Bank,76,115,191,0.02,43150.46,27882.03,71032.49,0.03,89,199,288,0.03,39052.34,19672.8,58725.14,0.02
111,01/07/2008,Allahabad Bank,648,1966,2614,0.3,695123.05,381966.9,1077089.95,0.4,1817,1177,2994,0.34,856091.43,275027.05,1131118.48,0.42
112,01/07/2008,American Express Bank,130,765,895,0.1,586142.28,145895.32,732037.6,0.27,442,768,1210,0.14,608214.62,150101.82,758316.44,0.28
113,01/07/2008,Andhra Bank,1438,5880,7318,0.84,1337396.53,335353.7,1672750.23,0.62,2346,2188,4534,0.52,1435638.26,108660.19,1544298.46,0.57
114,01/07/2008,Axis Bank,5522,38599,44121,5.08,6123103.58,7140955.86,13264059.44,4.93,6708,36715,43423,5,6390684.76,7505177.53,13895862.29,5.17
115,01/07/2008,"Bank of America, N.A.",1397,5427,6824,0.79,431030.33,741124.5,1172154.83,0.44,539,2092,2631,0.3,297458.34,776176.12,1073634.46,0.4
116,01/07/2008,Bank of Bahrain and Kuwait B.S.C.,163,129,292,0.03,33189.97,1940.5,35130.47,0.01,61,323,384,0.04,31541.73,4952.22,36493.95,0.01
117,01/07/2008,Bank of Baroda,4396,18511,22907,2.64,2168079.69,1450874.45,3618954.13,1.35,5337,19520,24857,2.86,2264523.99,1353677.61,3618201.6,1.35
118,01/07/2008,Bank of Ceylon,14,8,22,0,10517.05,1801.82,12318.87,0,21,92,113,0.01,10385.42,2684.46,13069.88,0
119,01/07/2008,Bank of India,4373,17304,21677,2.5,1532941.04,2383640.19,3916581.23,1.46,5217,13065,18282,2.11,895685.07,2080048.24,2975733.31,1.11
120,01/07/2008,Bank of Maharashtra,929,3516,4445,0.51,2670682.4,311456.79,2982139.19,1.11,989,2561,3550,0.41,2573549.26,339353.84,2912903.1,1.08
121,01/07/2008,Bank of Nova Scotia,428,1041,1469,0.17,1765237.29,250537.93,2015775.22,0.75,440,884,1324,0.15,1676179.41,233995.59,1910175,0.71
122,01/07/2008,Bank of Rajasthan,966,4082,5048,0.58,300499.73,157663.37,458163.1,0.17,1105,2711,3816,0.44,321231.08,142192.73,463423.81,0.17
123,01/07/2008,Barclays Bank PLC,732,893,1625,0.19,559863.78,489714.24,1049578.02,0.39,725,6074,6799,0.78,693349.19,508148.34,1201497.53,0.45
124,01/07/2008,Bharat Co-operative Bank,44,412,456,0.05,33964.85,3123.76,37088.61,0.01,48,428,476,0.05,30227.29,5230.15,35457.44,0.01
125,01/07/2008,Bank of Tokyo and Mitsubishi,226,455,681,0.08,654976.51,131379.74,786356.25,0.29,234,448,682,0.08,662208.17,108666.01,770874.18,0.29
126,01/07/2008,BNP Paribas,1175,4017,5192,0.6,2048910.27,384387.83,2433298.1,0.91,1657,2806,4463,0.51,2139773.13,297905.67,2437678.8,0.91
127,01/07/2008,Calyon Bank,550,489,1039,0.12,1037820.09,171828.78,1209648.88,0.45,671,252,923,0.11,1084306.21,86727.31,1171033.52,0.44
128,01/07/2008,Canara Bank,2859,15866,18725,2.16,2394227.16,1484659.94,3878887.1,1.44,4914,11171,16085,1.85,2643320.89,1687776.31,4331097.21,1.61
129,01/07/2008,Catholic Syrian Bank,645,596,1241,0.14,123912.07,17743.91,141655.98,0.05,452,992,1444,0.17,116639.97,30734.79,147374.76,0.05
130,01/07/2008,Central Bank of India,1537,3803,5340,0.61,2371552.66,618359.42,2989912.08,1.11,3112,2338,5450,0.63,2054293.51,987305.75,3041599.27,1.13
131,01/07/2008,Centurion Bank,1878,7114,8992,1.04,218051.52,292147.4,510198.92,0.19,2107,7036,9143,1.05,119683.64,301492.51,421176.15,0.16
132,01/07/2008,Chinatrust Commercial Bank,51,21,72,0.01,50604.5,1144.97,51749.47,0.02,41,47,88,0.01,44352.86,6382.23,50735.09,0.02
133,01/07/2008,Citi Bank,2783,28596,31379,3.61,1892421.86,13377926.54,15270348.39,5.68,2645,31964,34609,3.99,2247819.69,13230878.17,15478697.86,5.76
134,01/07/2008,Citizen Credit Co-operative Bank,0,36,36,0,0,315.41,315.41,0,7,100,107,0.01,110.5,2526.58,2637.08,0
135,01/07/2008,City Union Bank,1001,1300,2301,0.26,188714.28,175551.74,364266.02,0.14,670,1428,2098,0.24,156870.06,166552.06,323422.12,0.12
136,01/07/2008,Corporation Bank,6422,8856,15278,1.76,2872431.17,1013686.38,3886117.55,1.45,4252,18577,22829,2.63,2037326.62,2549668.3,4586994.93,1.71
137,01/07/2008,Cosmos Co-operative Bank,72,530,602,0.07,29073.79,20391.34,49465.13,0.02,143,341,484,0.06,21842.01,18266.4,40108.4,0.01
138,01/07/2008,DBS Bank India,514,349,863,0.1,2073987.04,187652.45,2261639.48,0.84,486,1421,1907,0.22,2129256.64,194398.88,2323655.52,0.86
139,01/07/2008,Dena Bank,721,2335,3056,0.35,256966.49,330264.74,587231.23,0.22,1142,581,1723,0.2,235806.83,323763.48,559570.31,0.21
140,01/07/2008,Deposit Insurance and Credit Guarantee Corporation,0,2,2,0,0,17.36,17.36,0,0,3,3,0,0,4.87,4.87,0
141,01/07/2008,Deutsche Bank AG,3063,11442,14505,1.67,2276807.23,10495567.67,12772374.89,4.75,1561,12940,14501,1.67,1744757,11621638.67,13366395.67,4.97
142,01/07/2008,Deutsche Securities India Pvt.,39,0,39,0,102129.6,0,102129.6,0.04,41,0,41,0,98798.65,0,98798.65,0.04
143,01/07/2008,Development Credit Bank,407,1741,2148,0.25,258378.58,79405.02,337783.6,0.13,363,1765,2128,0.25,238806.92,88061.7,326868.62,0.12
144,01/07/2008,Dhanlaxmi Bank,819,639,1458,0.17,108367.57,20524.83,128892.41,0.05,736,990,1726,0.2,96170.92,32280.61,128451.53,0.05
259,01/08/2008,IDBI Cap Market Services,69,0,69,0.01,138681.33,0,138681.33,0.06,86,0,86,0.01,140768.82,0,140768.82,0.06
145,01/07/2008,Dombivli Nagrik Co-operative Bank,54,75,129,0.01,9122.64,4906.44,14029.08,0.01,65,186,251,0.03,2077.6,3718.49,5796.09,0
146,01/07/2008,DSP Merrill Lynch Sec Trad,216,0,216,0.02,4551.9,0,4551.9,0,75,0,75,0.01,9440.22,0,9440.22,0
147,01/07/2008,Federal Bank,1030,4717,5747,0.66,728808.89,397826.54,1126635.44,0.42,2689,3183,5872,0.68,1003008.47,219728.94,1222737.41,0.45
148,01/07/2008,HDFC Bank,11836,93959,105795,12.18,4537396.41,39373698.44,43911094.85,16.33,8079,101712,109791,12.64,3771262.67,40929988.32,44701250.99,16.63
149,01/07/2008,Hongkong and Shanghai Banking Corporation,2995,20198,23193,2.67,3662548.74,5956708.83,9619257.57,3.58,3485,20830,24315,2.8,3994941.62,6450732.09,10445673.71,3.89
150,01/07/2008,ICICI Bank,4944,54860,59804,6.89,3345515.59,12498489.42,15844005,5.89,6081,38833,44914,5.17,3232358.57,12243456.46,15475815.04,5.76
151,01/07/2008,ICICI Securities Ltd,207,66,273,0.03,70375.3,144948.36,215323.66,0.08,204,0,204,0.02,222849.23,0,222849.23,0.08
152,01/07/2008,IDBI Cap Market Services,89,1,90,0.01,199595,504.04,200099.05,0.07,99,0,99,0.01,199254.31,0,199254.31,0.07
153,01/07/2008,IDBI Bank,3950,16123,20073,2.31,3705145.39,4898854.73,8604000.12,3.2,2887,13567,16454,1.89,3336245.62,5037500.03,8373745.64,3.11
154,01/07/2008,Indian Bank,1992,7201,9193,1.06,1109808.66,399538.72,1509347.37,0.56,2503,7849,10352,1.19,1056290.86,438788.01,1495078.87,0.56
155,01/07/2008,Indian Overseas Bank,1992,9203,11195,1.29,3557686.41,816351.83,4374038.23,1.63,3761,5442,9203,1.06,3329104.63,1027872.49,4356977.12,1.62
156,01/07/2008,IndusInd Bank,2292,6559,8851,1.02,1574809.39,544329.58,2119138.97,0.79,1903,11666,13569,1.56,1539913.54,545959.58,2085873.12,0.78
157,01/07/2008,ING Vysya Bank,2846,8515,11361,1.31,785461.78,1023585.13,1809046.92,0.67,3216,11332,14548,1.68,810208.91,1093313.06,1903521.97,0.71
158,01/07/2008,Jammu and Kashmir Bank,361,1517,1878,0.22,584949.48,206446.38,791395.86,0.29,407,2295,2702,0.31,531545.97,255767.79,787313.76,0.29
159,01/07/2008,Janakalyan Co-operative Bank,79,137,216,0.02,70139.36,3328.97,73468.33,0.03,48,258,306,0.04,69288.09,4196.72,73484.81,0.03
160,01/07/2008,JP Morgan Chase Bank,480,431,911,0.1,2021477.04,1083145.51,3104622.55,1.15,411,544,955,0.11,2028837.83,863855.34,2892693.17,1.08
161,01/07/2008,Kalupur Commercial Co-operative Bank,123,236,359,0.04,105761.69,12409.87,118171.56,0.04,124,490,614,0.07,92765.44,29471.33,122236.77,0.05
162,01/07/2008,Kalyan Janata Co-operative Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,01/07/2008,Karnataka Bank,1036,2456,3492,0.4,99092.19,190652.61,289744.79,0.11,946,2446,3392,0.39,120044.83,166443.75,286488.59,0.11
164,01/07/2008,Karur Vysya Bank,1465,3644,5109,0.59,552386.31,104069.64,656455.95,0.24,1398,3908,5306,0.61,501129.82,160975.49,662105.31,0.25
165,01/07/2008,Kotak Mahindra Bank,1710,6817,8527,0.98,986738.55,1515870.58,2502609.13,0.93,821,9890,10711,1.23,898327.6,1429819.75,2328147.35,0.87
166,01/07/2008,Krung Thai Bank PCL,42,13,55,0.01,20022.97,680,20702.97,0.01,41,4,45,0.01,20701.96,54.99,20756.95,0.01
